Skill,Type,Number of month practiced,Competency Level
Python,Programming Language,96,92
Java,Programming Language,25,74
C++,Programming Language,48,56
JavaScript,Programming Language,36,76
jQuery,Framework,32,81
HTML,Programming Language,40,95
CSS,Programming Language,24,63
SQL,Programming Language,43,78
Kotlin,Programming Language,20,60
Jira,Tool,60,88
Confluence,Tool,56,75
PyCharm,Tool,96,86
Eclipse,Tool,66,68
Visual Studio,Tool,50,45
Polarion QA,Tool,36,74
Selenium,Framework,32,83
jUnit,Framework,25,66
Flask,Framework,33,94
Vector CANoe,Tool,18,57
scikit-learn,Framework,5, 15
Numpy,Framework,10,42
Pandas,Framework,10,25
matplotlib,Framework,6,20
openCV,Framework,4,10
ROS 1,Framework,3,10
ROS 2, Framework,2, 2
BitBucket,Tool,72,83
git, Tool, 120, 72
Perforce, Tool, 75, 65
